# Estimated CE-Marked Packets by Message Length for dctcp_w4 (DCTCP)
# Values are estimated by distributing aggregate TCP/IP events
# across message-length buckets in proportion to estimated
# packet counts per bucket.
# aggregate_ect0_packets 128426356
# aggregate_ce_packets   0
# length  cum_frac  messages  est_packets  est_events
  141975  0.911093     4677     444315.0       0.000
  149091  0.913874     4573     457300.0       0.000
  156563  0.916731     4699     493395.0       0.000
  164410  0.919536     4613     507430.0       0.000
  172651  0.922278     4510     523160.0       0.000
  181304  0.925120     4674     565554.0       0.000
  189618  0.927938     4635     588645.0       0.000
  197911  0.930623     4416     582912.0       0.000
  206566  0.933295     4396     606648.0       0.000
  215160  0.936030     4497     647568.0       0.000
  223195  0.938855     4647     692403.0       0.000
  231530  0.941656     4606     713930.0       0.000
  240177  0.944435     4572     736092.0       0.000
  253761  0.947207     4559     775030.0       0.000
  268113  0.949957     4523     809617.0       0.000
  283277  0.952610     4363     824607.0       0.000
  318166  0.955381     4557     970641.0       0.000
  368444  0.958187     4615    1135290.0       0.000
  426666  0.960904     4470    1273950.0       0.000
  514641  0.963867     4873    1676312.0       0.000
  643946  0.966644     4567    1963810.0       0.000
  792711  0.969406     4542    2402718.0       0.000
  940700  0.971974     4225    2653300.0       0.000
 1000000  1.000000    46094   30744698.0       0.000
